playlist_id,playlist_name,user_id
2Ejbdf2DC9JGr5qdT0Z852,Old School Hip Hop House Party,spotify_uk_
7wUUwoxU2S6BRKA2bDPYKD,Massive dance hits,spotify_uk_
2aUKPl1SatBDloOMrR1hAp,Indie Roadtrip,spotify_uk_
5O2ERf8kAYARVVdfCKZ9G7,Coffee Table Jazz,spotify
6CRNGyV2hoQDyYpUPjHrkz,Top Classical,spotify
